"AOU_Code"	"Response_Guild"	"Int_Element"
"157"	"GRCA"	"TemperateMigrant"	"Compositional"
"158"	"GRCA"	"ShrubNester"	"Structural"
"159"	"GRCA"	"ForestGeneralist"	"Structural"
"160"	"GRCA"	"Omnivore"	"Functional"
"161"	"GWWA"	"UpperCanopyForager"	"Functional"
"162"	"GWWA"	"OpenGroundNester"	"Structural"
"163"	"GWWA"	"SingleBrooded"	"Compositional"
"164"	"HAWO"	"BarkProber"	"Functional"
"165"	"HAWO"	"Resident"	"Compositional"
"166"	"HAWO"	"SingleBrooded"	"Compositional"
"167"	"HAWO"	"InteriorForestObligate"	"Structural"
"168"	"HETH"	"GroundGleaner"	"Functional"
"169"	"HETH"	"TemperateMigrant"	"Compositional"
"170"	"HETH"	"ForestGroundNester"	"Structural"
"171"	"HETH"	"InteriorForestObligate"	"Structural"
"172"	"HOFI"	"Resident"	"Compositional"
"173"	"HOFI"	"Exotic"	"Compositional"
"174"	"HOSP"	"Resident"	"Compositional"
"175"	"HOSP"	"Exotic"	"Compositional"
"176"	"HOWA"	"LowerCanopyForager"	"Functional"
"177"	"HOWA"	"ShrubNester"	"Structural"
"178"	"HOWA"	"SingleBrooded"	"Compositional"
"179"	"HOWA"	"InteriorForestObligate"	"Structural"
"180"	"HOWR"	"LowerCanopyForager"	"Functional"
"181"	"HOWR"	"TemperateMigrant"	"Compositional"
"182"	"INBU"	"ShrubNester"	"Structural"
"183"	"INBU"	"Omnivore"	"Functional"
"184"	"KEWA"	"GroundGleaner"	"Functional"
"185"	"KEWA"	"ForestGroundNester"	"Structural"
"186"	"KEWA"	"SingleBrooded"	"Compositional"
"187"	"KEWA"	"InteriorForestObligate"	"Structural"
"188"	"LEFL"	"CanopyNester"	"Structural"
"189"	"LEFL"	"SingleBrooded"	"Compositional"
"190"	"LOWA"	"ForestGroundNester"	"Structural"
"191"	"LOWA"	"SingleBrooded"	"Compositional"
"192"	"LOWA"	"InteriorForestObligate"	"Structural"
"193"	"MAWA"	"LowerCanopyForager"	"Functional"
"194"	"MAWA"	"ShrubNester"	"Structural"
"195"	"MAWA"	"SingleBrooded"	"Compositional"
"196"	"MAWA"	"InteriorForestObligate"	"Structural"
"197"	"MODO"	"Resident"	"Compositional"
"198"	"MODO"	"CanopyNester"	"Structural"
"199"	"MOWA"	"GroundGleaner"	"Functional"
"200"	"MOWA"	"ForestGroundNester"	"Structural"
"201"	"MOWA"	"SingleBrooded"	"Compositional"
"202"	"NAWA"	"LowerCanopyForager"	"Functional"
"203"	"NAWA"	"ForestGroundNester"	"Structural"
"204"	"NAWA"	"SingleBrooded"	"Compositional"
"205"	"NOCA"	"Resident"	"Compositional"
"206"	"NOCA"	"ShrubNester"	"Structural"
"207"	"NOCA"	"ForestGeneralist"	"Structural"
"208"	"NOCA"	"Omnivore"	"Functional"
"209"	"NOFL"	"GroundGleaner"	"Functional"
"210"	"NOFL"	"Resident"	"Compositional"
"211"	"NOFL"	"SingleBrooded"	"Compositional"
"212"	"NOFL"	"ForestGeneralist"	"Structural"
"213"	"NOMO"	"Resident"	"Compositional"
"214"	"NOMO"	"ShrubNester"	"Structural"
"215"	"NOMO"	"Omnivore"	"Functional"
"216"	"NOPA"	"UpperCanopyForager"	"Functional"
"217"	"NOPA"	"CanopyNester"	"Structural"
"218"	"NOPA"	"SingleBrooded"	"Compositional"
"219"	"NOPA"	"ForestGeneralist"	"Structural"
"220"	"NOWA"	"ForestGroundNester"	"Structural"
"221"	"NOWA"	"SingleBrooded"	"Compositional"
"222"	"NOWA"	"InteriorForestObligate"	"Structural"
"223"	"NRWS"	"SingleBrooded"	"Compositional"
"224"	"OROR"	"UpperCanopyForager"	"Functional"
"225"	"OROR"	"CanopyNester"	"Structural"
"226"	"OROR"	"SingleBrooded"	"Compositional"
"227"	"OVEN"	"GroundGleaner"	"Functional"
"228"	"OVEN"	"ForestGroundNester"	"Structural"
"229"	"OVEN"	"SingleBrooded"	"Compositional"
"230"	"OVEN"	"InteriorForestObligate"	"Structural"
"231"	"PIWA"	"BarkProber"	"Functional"
"232"	"PIWA"	"TemperateMigrant"	"Compositional"
"233"	"PIWA"	"CanopyNester"	"Structural"
"234"	"PIWA"	"SingleBrooded"	"Compositional"
"235"	"PIWA"	"InteriorForestObligate"	"Structural"
"236"	"PIWO"	"BarkProber"	"Functional"
"237"	"PIWO"	"Resident"	"Compositional"
